#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 21C03: Longmire (Disc), WA
#	SNOW COURSE/AERIAL MARKER 21A10: Schreibers Meadow, WA
#	SNOTEL 791: Stevens Pass, WA
#	SNOW COURSE/AERIAL MARKER 21B08: Tunnel Avenue, WA
#	SNOTEL 909: Wells Creek, WA
# 
# Data items provided in this file:
#
# Element Name             Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Depth               Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent    Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Air Temperature Maximum  Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum  Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Mar 22, 2022 11:37:03 PM GMT-08:00
#
Date,Station Id,Station Name,Elevation (ft),Latitude,Longitude,Snow Depth (in) Start of Day Values,Snow Water Equivalent (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF)
1980-10-01,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-02,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-03,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-04,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-05,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-06,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-07,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-08,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-09,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-10,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-11,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-12,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-13,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-14,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-15,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-16,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-17,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-18,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-19,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-20,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-21,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-22,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-23,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-24,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-25,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-26,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-27,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-28,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-29,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-30,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-10-31,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-11-01,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-11-02,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-11-03,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-11-04,791,Stevens Pass,3950,47.74607,-121.09288,,0.0,,
1980-11-05,791,Stevens Pass,3950,47.74607,-121.09288,,0.1,,
1980-11-06,791,Stevens Pass,3950,47.74607,-121.09288,,0.1,,
1980-11-07,791,Stevens Pass,3950,47.74607,-121.09288,,0.2,,
1980-11-08,791,Stevens Pass,3950,47.74607,-121.09288,,0.4,,
1980-11-09,791,Stevens Pass,3950,47.74607,-121.09288,,0.4,,
1980-11-10,791,Stevens Pass,3950,47.74607,-121.09288,,0.6,,
1980-11-11,791,Stevens Pass,3950,47.74607,-121.09288,,0.6,,
1980-11-12,791,Stevens Pass,3950,47.74607,-121.09288,,0.6,,
1980-11-13,791,Stevens Pass,3950,47.74607,-121.09288,,0.6,,
1980-11-14,791,Stevens Pass,3950,47.74607,-121.09288,,0.6,,
1980-11-15,791,Stevens Pass,3950,47.74607,-121.09288,,0.6,,
1980-11-16,791,Stevens Pass,3950,47.74607,-121.09288,,0.6,,
1980-11-17,791,Stevens Pass,3950,47.74607,-121.09288,,0.6,,
1980-11-18,791,Stevens Pass,3950,47.74607,-121.09288,,0.6,,
1980-11-19,791,Stevens Pass,3950,47.74607,-121.09288,,0.6,,
1980-11-20,791,Stevens Pass,3950,47.74607,-121.09288,,0.6,,
1980-11-21,791,Stevens Pass,3950,47.74607,-121.09288,,0.6,,
1980-11-22,791,Stevens Pass,3950,47.74607,-121.09288,,0.8,,
1980-11-23,791,Stevens Pass,3950,47.74607,-121.09288,,0.8,,
1980-11-24,791,Stevens Pass,3950,47.74607,-121.09288,,0.8,,
1980-11-25,791,Stevens Pass,3950,47.74607,-121.09288,,0.9,,
1980-11-26,791,Stevens Pass,3950,47.74607,-121.09288,,1.1,,
1980-11-27,791,Stevens Pass,3950,47.74607,-121.09288,,0.8,,
1980-11-28,791,Stevens Pass,3950,47.74607,-121.09288,,0.8,,
1980-11-29,791,Stevens Pass,3950,47.74607,-121.09288,,1.1,,
1980-11-30,791,Stevens Pass,3950,47.74607,-121.09288,,1.6,,
1980-12-01,791,Stevens Pass,3950,47.74607,-121.09288,,1.6,,
1980-12-02,791,Stevens Pass,3950,47.74607,-121.09288,,1.6,,
1980-12-03,791,Stevens Pass,3950,47.74607,-121.09288,,2.4,,
1980-12-04,791,Stevens Pass,3950,47.74607,-121.09288,,2.6,,
1980-12-05,791,Stevens Pass,3950,47.74607,-121.09288,,2.8,,
1980-12-06,791,Stevens Pass,3950,47.74607,-121.09288,,3.0,,
1980-12-07,791,Stevens Pass,3950,47.74607,-121.09288,,3.2,,
1980-12-08,791,Stevens Pass,3950,47.74607,-121.09288,,3.2,,
1980-12-09,791,Stevens Pass,3950,47.74607,-121.09288,,3.2,,
1980-12-10,791,Stevens Pass,3950,47.74607,-121.09288,,3.2,,
1980-12-11,791,Stevens Pass,3950,47.74607,-121.09288,,3.2,,
1980-12-12,791,Stevens Pass,3950,47.74607,-121.09288,,3.4,,
1980-12-13,791,Stevens Pass,3950,47.74607,-121.09288,,3.4,,
1980-12-14,791,Stevens Pass,3950,47.74607,-121.09288,,3.4,,
1980-12-15,791,Stevens Pass,3950,47.74607,-121.09288,,3.2,,
1980-12-16,791,Stevens Pass,3950,47.74607,-121.09288,,3.0,,
1980-12-17,791,Stevens Pass,3950,47.74607,-121.09288,,3.0,,
1980-12-18,791,Stevens Pass,3950,47.74607,-121.09288,,3.0,,
1980-12-19,791,Stevens Pass,3950,47.74607,-121.09288,,3.0,,
1980-12-20,791,Stevens Pass,3950,47.74607,-121.09288,,3.2,,
1980-12-21,791,Stevens Pass,3950,47.74607,-121.09288,,3.5,,
1980-12-22,791,Stevens Pass,3950,47.74607,-121.09288,,3.6,,
1980-12-23,791,Stevens Pass,3950,47.74607,-121.09288,,3.6,,
1980-12-24,791,Stevens Pass,3950,47.74607,-121.09288,,3.6,,
1980-12-25,791,Stevens Pass,3950,47.74607,-121.09288,,3.8,,
1980-12-26,791,Stevens Pass,3950,47.74607,-121.09288,,3.6,,
1980-12-27,791,Stevens Pass,3950,47.74607,-121.09288,,3.0,,
1980-12-28,791,Stevens Pass,3950,47.74607,-121.09288,,3.0,,
1980-12-29,791,Stevens Pass,3950,47.74607,-121.09288,,2.9,,
1980-12-30,791,Stevens Pass,3950,47.74607,-121.09288,,3.0,,
1980-12-31,791,Stevens Pass,3950,47.74607,-121.09288,,2.8,,
1981-01-01,791,Stevens Pass,3950,47.74607,-121.09288,,2.7,,
1981-01-02,791,Stevens Pass,3950,47.74607,-121.09288,,2.5,,
1981-01-03,791,Stevens Pass,3950,47.74607,-121.09288,,2.5,,
1981-01-04,791,Stevens Pass,3950,47.74607,-121.09288,,2.5,,
1981-01-05,791,Stevens Pass,3950,47.74607,-121.09288,,2.5,,
1981-01-06,791,Stevens Pass,3950,47.74607,-121.09288,,2.5,,
1981-01-07,791,Stevens Pass,3950,47.74607,-121.09288,,2.4,,
1981-01-08,791,Stevens Pass,3950,47.74607,-121.09288,,2.5,,
1981-01-09,791,Stevens Pass,3950,47.74607,-121.09288,,2.5,,
1981-01-10,791,Stevens Pass,3950,47.74607,-121.09288,,2.2,,
1981-01-11,791,Stevens Pass,3950,47.74607,-121.09288,,2.2,,
1981-01-12,791,Stevens Pass,3950,47.74607,-121.09288,,2.2,,
1981-01-13,791,Stevens Pass,3950,47.74607,-121.09288,,2.2,,
1981-01-14,791,Stevens Pass,3950,47.74607,-121.09288,,2.2,,
1981-01-15,791,Stevens Pass,3950,47.74607,-121.09288,,2.8,,
1981-01-16,791,Stevens Pass,3950,47.74607,-121.09288,,2.4,,
1981-01-17,791,Stevens Pass,3950,47.74607,-121.09288,,2.4,,
1981-01-18,791,Stevens Pass,3950,47.74607,-121.09288,,2.5,,
1981-01-19,791,Stevens Pass,3950,47.74607,-121.09288,,2.2,,
1981-01-20,791,Stevens Pass,3950,47.74607,-121.09288,,2.2,,
1981-01-21,791,Stevens Pass,3950,47.74607,-121.09288,,2.4,,
1981-01-22,791,Stevens Pass,3950,47.74607,-121.09288,,2.1,,
1981-01-23,791,Stevens Pass,3950,47.74607,-121.09288,,2.1,,
1981-01-24,791,Stevens Pass,3950,47.74607,-121.09288,,2.2,,
1981-01-25,791,Stevens Pass,3950,47.74607,-121.09288,,2.2,,
1981-01-26,791,Stevens Pass,3950,47.74607,-121.09288,,2.0,,
1981-01-27,791,Stevens Pass,3950,47.74607,-121.09288,,2.2,,
1981-01-28,791,Stevens Pass,3950,47.74607,-121.09288,,2.2,,
1981-01-29,791,Stevens Pass,3950,47.74607,-121.09288,,2.2,,
1981-01-30,791,Stevens Pass,3950,47.74607,-121.09288,,2.2,,
1981-01-31,791,Stevens Pass,3950,47.74607,-121.09288,,2.4,,
1981-02-01,791,Stevens Pass,3950,47.74607,-121.09288,,2.4,,
1981-02-02,791,Stevens Pass,3950,47.74607,-121.09288,,2.2,,
