COOP,Name,Latitude,Longitude,Elevation,ObsDate,Time,MxTmp,MnTmp,AvTmp,Precip,Snwfl,Snwdp
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-01,06:00,22,15,18,0.00,0.0,38
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-02,06:00,25,21,23,0.50,7.0,44
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-03,06:00,33,25,29,0.60,7.0,46
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-04,06:00,35,28,32,0.62,7.0,50
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-05,06:00,30,28,29,0.70,7.0,54
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-06,06:00,32,27,30,0.80,7.0,60
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-07,06:00,35,22,28,0.00,0.0,58
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-08,06:00,30,15,22,0.00,0.0,58
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-09,06:00,35,18,26,0.15,1.0,58
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-10,06:00,35,31,33,0.40,0.0,52
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-11,06:00,35,30,32,1.13,5.0,54
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-12,06:00,35,28,32,0.01,0.0,51
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-13,06:00,32,28,30,0.00,0.0,50
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-14,06:00,33,22,28,0.18,2.0,52
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-15,06:00,32,20,26,0.71,6.0,56
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-16,06:00,30,25,28,0.20,2.0,58
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-17,06:00,34,27,30,0.14,1.0,58
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-18,06:00,39,25,32,0.00,0.0,56
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-19,06:00,28,17,22,0.00,0.0,54
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-20,06:00,23,17,20,0.05,1.0,54
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-21,06:00,25,19,22,0.00,0.0,54
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-22,06:00,25,20,22,1.80,13.0,67
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-23,06:00,34,21,28,1.11,0.0,65
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-24,06:00,37,30,34,0.82,3.0,65
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-25,06:00,45,29,37,0.23,3.0,67
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-26,06:00,36,28,32,1.35,8.0,72
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-27,06:00,37,32,34,1.02,0.0,70
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-28,06:00,43,33,38,2.28,0.0,66
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-29,06:00,50,32,41,0.00,0.0,64
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-30,06:00,37,30,34,0.00,0.0,63
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-01-31,06:00,39,28,34,0.00,0.0,62
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-01,06:00,37,23,30,0.00,0.0,61
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-02,06:00,36,23,30,0.00,0.0,61
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-03,06:00,28,23,26,0.00,0.0,60
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-04,06:00,29,23,26,0.00,0.0,60
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-05,06:00,34,24,29,0.00,0.0,60
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-06,06:00,35,21,28,0.59,5.0,63
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-07,06:00,38,18,28,0.00,0.0,61
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-08,06:00,38,18,28,0.00,0.0,60
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-09,06:00,42,17,30,0.00,0.0,59
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-10,06:00,38,19,28,0.00,0.0,58
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-11,06:00,39,23,31,0.00,0.0,58
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-12,06:00,46,21,34,0.00,0.0,57
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-13,06:00,44,22,33,0.00,0.0,56
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-14,06:00,45,18,32,0.00,0.0,55
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-15,06:00,43,19,31,0.06,1.0,55
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-16,06:00,34,22,28,0.32,2.0,57
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-17,06:00,34,22,28,0.98,8.0,65
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-18,06:00,36,28,32,2.60,1.0,60
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-19,06:00,40,29,34,1.29,1.0,60
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-20,06:00,35,28,32,0.00,0.0,60
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-21,06:00,34,23,28,0.40,4.0,64
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-22,06:00,40,24,32,0.00,0.0,63
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-23,06:00,34,18,26,0.38,4.0,65
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-24,06:00,40,17,28,0.06,0.0,63
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-25,06:00,41,18,30,0.00,0.0,62
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-26,06:00,36,23,30,0.48,6.0,68
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-27,06:00,32,23,28,1.32,12.0,78
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-02-28,06:00,37,30,34,0.27,2.0,77
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-03-01,06:00,35,31,33,0.54,0.0,74
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-03-02,06:00,50,33,42,0.00,0.0,70
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-03-03,06:00,58,33,46,0.00,0.0,66
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-03-04,06:00,46,22,34,0.22,0.0,65
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-03-05,06:00,32,14,23,0.00,0.0,65
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-03-06,06:00,42,16,29,0.00,0.0,64
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-03-07,06:00,49,18,34,0.00,0.0,63
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-03-08,06:00,44,18,31,0.00,0.0,62
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-03-09,06:00,46,,0.22,2.0,63
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-03-10,06:00,37,31,34,1.70,7.0,70
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-03-11,06:00,36,30,33,0.58,3.0,72
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-03-12,06:00,41,32,36,0.71,0.0,66
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-03-13,06:00,38,30,34,0.29,2.0,67
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-03-14,06:00,44,23,34,0.00,0.0,66
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-03-15,06:00,48,26,37,0.00,0.0,65
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-03-16,06:00,50,32,41,0.83,0.0,64
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-03-17,06:00,45,32,38,0.11,0.0,63
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-03-18,06:00,44,31,38,1.41,0.0,60
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-03-19,06:00,44,32,38,1.45,0.0,59
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-03-20,06:00,40,32,36,1.22,0.0,59
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-03-21,06:00,47,35,41,1.18,0.0,58
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-03-22,06:00,49,31,40,1.25,7.0,63
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-03-23,06:00,40,22,31,0.06,0.0,60
457781,Snoqualmie Pass,47.416667,-121.416667,3022,1931-03-24,06:00,49,28,38,0.00,0.0,58
